[2025-05-23 11:26:58] [INFO] Game start
[2025-05-23 11:26:59] [INFO] First level
[2025-05-23 11:26:59] [INFO] exp_pic Start
[2025-05-23 11:27:04] [INFO] Collision detected! Giraffe HP: 149
[2025-05-23 11:27:04] [INFO] Collision detected! Giraffe HP: 148
[2025-05-23 11:27:04] [INFO] Collision detected! Giraffe HP: 147
[2025-05-23 11:27:04] [INFO] Collision detected! Giraffe HP: 146
[2025-05-23 11:27:04] [INFO] Collision detected! Giraffe HP: 145
[2025-05-23 11:27:04] [INFO] Collision detected! Giraffe HP: 144
[2025-05-23 11:27:04] [INFO] Collision detected! Giraffe HP: 143
[2025-05-23 11:27:04] [INFO] Collision detected! Giraffe HP: 142
[2025-05-23 11:27:04] [INFO] Collision detected! Giraffe HP: 141
[2025-05-23 11:27:04] [INFO] Collision detected! Giraffe HP: 140
[2025-05-23 11:27:04] [INFO] Collision detected! Giraffe HP: 139
[2025-05-23 11:27:04] [INFO] Collision detected! Giraffe HP: 138
[2025-05-23 11:27:04] [INFO] Collision detected! Giraffe HP: 137
[2025-05-23 11:27:04] [INFO] Collision detected! Giraffe HP: 136
[2025-05-23 11:27:04] [INFO] Collision detected! Giraffe HP: 135
[2025-05-23 11:27:04] [INFO] Collision detected! Giraffe HP: 134
[2025-05-23 11:27:04] [INFO] Collision detected! Giraffe HP: 133
[2025-05-23 11:27:04] [INFO] Collision detected! Giraffe HP: 132
[2025-05-23 11:27:04] [INFO] Collision detected! Giraffe HP: 131
[2025-05-23 11:27:04] [INFO] Collision detected! Giraffe HP: 130
[2025-05-23 11:27:04] [INFO] Collision detected! Giraffe HP: 129
[2025-05-23 11:27:04] [INFO] Collision detected! Giraffe HP: 128
[2025-05-23 11:27:04] [INFO] Collision detected! Giraffe HP: 127
[2025-05-23 11:27:04] [INFO] Collision detected! Giraffe HP: 126
[2025-05-23 11:27:04] [INFO] Collision detected! Giraffe HP: 125
[2025-05-23 11:27:04] [INFO] Collision detected! Giraffe HP: 124
[2025-05-23 11:27:04] [INFO] Collision detected! Giraffe HP: 123
[2025-05-23 11:27:04] [INFO] Collision detected! Giraffe HP: 122
[2025-05-23 11:27:04] [INFO] Collision detected! Giraffe HP: 121
[2025-05-23 11:27:04] [INFO] Collision detected! Giraffe HP: 120
[2025-05-23 11:27:04] [INFO] Collision detected! Giraffe HP: 119
[2025-05-23 11:27:04] [INFO] Collision detected! Giraffe HP: 118
[2025-05-23 11:27:04] [INFO] Collision detected! Giraffe HP: 117
[2025-05-23 11:27:04] [INFO] Collision detected! Giraffe HP: 116
[2025-05-23 11:27:04] [INFO] Collision detected! Giraffe HP: 115
[2025-05-23 11:27:04] [INFO] Collision detected! Giraffe HP: 114
[2025-05-23 11:27:04] [INFO] Collision detected! Giraffe HP: 113
[2025-05-23 11:27:04] [INFO] Collision detected! Giraffe HP: 112
[2025-05-23 11:27:04] [INFO] Collision detected! Giraffe HP: 111
[2025-05-23 11:27:05] [INFO] Dark_pic Start
[2025-05-23 11:27:05] [INFO] 技能選擇界面已啟動
[2025-05-23 11:27:06] [INFO] Button clicked: 雙重射擊
[2025-05-23 11:27:12] [INFO] Set giraffe pos
[2025-05-23 11:27:12] [INFO] Set giraffe pos
[2025-05-23 11:27:12] [INFO] Set giraffe pos
[2025-05-23 11:27:12] [INFO] Set giraffe pos
[2025-05-23 11:27:12] [INFO] Set giraffe pos
[2025-05-23 11:27:12] [INFO] Set giraffe pos
[2025-05-23 11:27:12] [INFO] Set giraffe pos
[2025-05-23 11:27:12] [INFO] Set giraffe pos
[2025-05-23 11:27:12] [INFO] Set giraffe pos
[2025-05-23 11:27:12] [INFO] Enemy_7_attack End
[2025-05-23 11:27:16] [INFO] Set giraffe pos
[2025-05-23 11:27:16] [INFO] Set giraffe pos
[2025-05-23 11:27:16] [INFO] Set giraffe pos
[2025-05-23 11:27:16] [INFO] Set giraffe pos
[2025-05-23 11:27:16] [INFO] Set giraffe pos
[2025-05-23 11:27:16] [INFO] Set giraffe pos
[2025-05-23 11:27:16] [INFO] Set giraffe pos
[2025-05-23 11:27:16] [INFO] Set giraffe pos
[2025-05-23 11:27:16] [INFO] Set giraffe pos
[2025-05-23 11:27:16] [INFO] Set giraffe pos
[2025-05-23 11:27:16] [INFO] Set giraffe pos
[2025-05-23 11:27:16] [INFO] Set giraffe pos
[2025-05-23 11:27:16] [INFO] Set giraffe pos
[2025-05-23 11:27:16] [INFO] Set giraffe pos
[2025-05-23 11:27:16] [INFO] Set giraffe pos
[2025-05-23 11:27:16] [INFO] Set giraffe pos
[2025-05-23 11:27:16] [INFO] Set giraffe pos
[2025-05-23 11:27:16] [INFO] Set giraffe pos
[2025-05-23 11:27:16] [INFO] Set giraffe pos
[2025-05-23 11:27:16] [INFO] Set giraffe pos
[2025-05-23 11:27:16] [INFO] Set giraffe pos
[2025-05-23 11:27:16] [INFO] Set giraffe pos
[2025-05-23 11:27:16] [INFO] Set giraffe pos
[2025-05-23 11:27:16] [INFO] Set giraffe pos
[2025-05-23 11:27:16] [INFO] Set giraffe pos
[2025-05-23 11:27:16] [INFO] Set giraffe pos
[2025-05-23 11:27:16] [INFO] Set giraffe pos
[2025-05-23 11:27:16] [INFO] Set giraffe pos
[2025-05-23 11:27:16] [INFO] Set giraffe pos
[2025-05-23 11:27:16] [INFO] Set giraffe pos
[2025-05-23 11:27:16] [INFO] Set giraffe pos
[2025-05-23 11:27:16] [INFO] Set giraffe pos
[2025-05-23 11:27:16] [INFO] Set giraffe pos
[2025-05-23 11:27:16] [INFO] Set giraffe pos
[2025-05-23 11:27:16] [INFO] Set giraffe pos
[2025-05-23 11:27:16] [INFO] Set giraffe pos
[2025-05-23 11:27:16] [INFO] Set giraffe pos
[2025-05-23 11:27:16] [INFO] Set giraffe pos
[2025-05-23 11:27:16] [INFO] Set giraffe pos
[2025-05-23 11:27:16] [INFO] Set giraffe pos
[2025-05-23 11:27:16] [INFO] Set giraffe pos
[2025-05-23 11:27:16] [INFO] Set giraffe pos
[2025-05-23 11:27:16] [INFO] Set giraffe pos
[2025-05-23 11:27:16] [INFO] Set giraffe pos
[2025-05-23 11:27:16] [INFO] Set giraffe pos
[2025-05-23 11:27:16] [INFO] Set giraffe pos
[2025-05-23 11:27:16] [INFO] Set giraffe pos
[2025-05-23 11:27:16] [INFO] Set giraffe pos
[2025-05-23 11:27:16] [INFO] Set giraffe pos
[2025-05-23 11:27:16] [INFO] Set giraffe pos
[2025-05-23 11:27:16] [INFO] Set giraffe pos
[2025-05-23 11:27:17] [INFO] Set giraffe pos
[2025-05-23 11:27:17] [INFO] Set giraffe pos
[2025-05-23 11:27:17] [INFO] Set giraffe pos
[2025-05-23 11:27:17] [INFO] Set giraffe pos
[2025-05-23 11:27:17] [INFO] Set giraffe pos
[2025-05-23 11:27:17] [INFO] Set giraffe pos
[2025-05-23 11:27:17] [INFO] Set giraffe pos
[2025-05-23 11:27:17] [INFO] Set giraffe pos
[2025-05-23 11:27:17] [INFO] Enemy_7_attack End
[2025-05-23 11:27:20] [INFO] Set giraffe pos
[2025-05-23 11:27:20] [INFO] Set giraffe pos
[2025-05-23 11:27:20] [INFO] Set giraffe pos
[2025-05-23 11:27:20] [INFO] Set giraffe pos
[2025-05-23 11:27:20] [INFO] Set giraffe pos
[2025-05-23 11:27:20] [INFO] Set giraffe pos
[2025-05-23 11:27:20] [INFO] Set giraffe pos
[2025-05-23 11:27:20] [INFO] Set giraffe pos
[2025-05-23 11:27:20] [INFO] Set giraffe pos
[2025-05-23 11:27:20] [INFO] Set giraffe pos
[2025-05-23 11:27:20] [INFO] Set giraffe pos
[2025-05-23 11:27:20] [INFO] Set giraffe pos
[2025-05-23 11:27:20] [INFO] Set giraffe pos
[2025-05-23 11:27:20] [INFO] Set giraffe pos
[2025-05-23 11:27:20] [INFO] Set giraffe pos
[2025-05-23 11:27:20] [INFO] Set giraffe pos
[2025-05-23 11:27:20] [INFO] Set giraffe pos
[2025-05-23 11:27:20] [INFO] Set giraffe pos
[2025-05-23 11:27:21] [INFO] Set giraffe pos
[2025-05-23 11:27:21] [INFO] Set giraffe pos
[2025-05-23 11:27:21] [INFO] Set giraffe pos
[2025-05-23 11:27:21] [INFO] Set giraffe pos
[2025-05-23 11:27:21] [INFO] Set giraffe pos
[2025-05-23 11:27:21] [INFO] Set giraffe pos
[2025-05-23 11:27:21] [INFO] Set giraffe pos
[2025-05-23 11:27:21] [INFO] Set giraffe pos
[2025-05-23 11:27:21] [INFO] Set giraffe pos
[2025-05-23 11:27:21] [INFO] Set giraffe pos
[2025-05-23 11:27:21] [INFO] Set giraffe pos
[2025-05-23 11:27:21] [INFO] Set giraffe pos
[2025-05-23 11:27:21] [INFO] Set giraffe pos
[2025-05-23 11:27:21] [INFO] Set giraffe pos
[2025-05-23 11:27:21] [INFO] Set giraffe pos
[2025-05-23 11:27:21] [INFO] Set giraffe pos
[2025-05-23 11:27:21] [INFO] Set giraffe pos
[2025-05-23 11:27:21] [INFO] Set giraffe pos
[2025-05-23 11:27:21] [INFO] Set giraffe pos
[2025-05-23 11:27:21] [INFO] Set giraffe pos
[2025-05-23 11:27:21] [INFO] Set giraffe pos
[2025-05-23 11:27:21] [INFO] Set giraffe pos
[2025-05-23 11:27:21] [INFO] Set giraffe pos
[2025-05-23 11:27:21] [INFO] Set giraffe pos
[2025-05-23 11:27:21] [INFO] Set giraffe pos
[2025-05-23 11:27:21] [INFO] Set giraffe pos
[2025-05-23 11:27:21] [INFO] Set giraffe pos
[2025-05-23 11:27:21] [INFO] Set giraffe pos
[2025-05-23 11:27:21] [INFO] Set giraffe pos
[2025-05-23 11:27:21] [INFO] Set giraffe pos
[2025-05-23 11:27:21] [INFO] Set giraffe pos
[2025-05-23 11:27:21] [INFO] Set giraffe pos
[2025-05-23 11:27:21] [INFO] Set giraffe pos
[2025-05-23 11:27:21] [INFO] Set giraffe pos
[2025-05-23 11:27:21] [INFO] Set giraffe pos
[2025-05-23 11:27:21] [INFO] Set giraffe pos
[2025-05-23 11:27:21] [INFO] Set giraffe pos
[2025-05-23 11:27:21] [INFO] Set giraffe pos
[2025-05-23 11:27:21] [INFO] Set giraffe pos
[2025-05-23 11:27:21] [INFO] Set giraffe pos
[2025-05-23 11:27:21] [INFO] Set giraffe pos
[2025-05-23 11:27:21] [INFO] Enemy_7_attack End
[2025-05-23 11:27:25] [INFO] Set giraffe pos
[2025-05-23 11:27:25] [INFO] Set giraffe pos
[2025-05-23 11:27:25] [INFO] Set giraffe pos
[2025-05-23 11:27:25] [INFO] Set giraffe pos
[2025-05-23 11:27:25] [INFO] Set giraffe pos
[2025-05-23 11:27:25] [INFO] Set giraffe pos
[2025-05-23 11:27:25] [INFO] Set giraffe pos
[2025-05-23 11:27:25] [INFO] Set giraffe pos
[2025-05-23 11:27:25] [INFO] Set giraffe pos
